year,month,day,time,magnitude,injuries,fatalities,loss,crop loss (millions $),latitude,longitude,elat,elon,path length (miles),width (yards)
1950,1,3,11:00:00,3,3,0,6,0,38.77,-90.22,38.83,-90.03,9.5,150
1950,1,3,11:55:00,3,3,0,5,0,39.1,-89.3,39.12,-89.23,3.6,130
1950,1,3,16:00:00,1,1,0,4,0,40.88,-84.58,0,0,0.1,10
1950,1,13,5:25:00,3,1,1,3,0,34.4,-94.37,0,0,0.6,17
1950,1,25,19:30:00,2,5,0,5,0,37.6,-90.68,37.63,-90.65,2.3,300
1950,1,25,21:00:00,2,0,0,5,0,41.17,-87.33,0,0,0.1,100
1950,1,26,18:00:00,2,2,0,0,0,26.88,-98.12,26.88,-98.05,4.7,133
1950,2,11,13:10:00,2,0,0,4,0,29.42,-95.25,29.52,-95.13,9.9,400
1950,2,11,13:50:00,3,12,1,4,0,29.67,-95.05,29.83,-95,12,1000
1950,2,11,21:00:00,2,5,0,5,0,32.35,-95.2,32.42,-95.2,4.6,100
1950,2,11,23:55:00,2,6,0,5,0,32.98,-94.63,33,-94.7,4.5,67
1950,2,12,0:30:00,2,8,1,4,0,33.33,-94.42,33.45,-94.42,8,833
1950,2,12,1:15:00,1,0,0,4,0,32.08,-98.35,32.1,-98.33,2.3,233
1950,2,12,6:10:00,2,0,0,4,0,31.52,-96.55,31.57,-96.55,3.4,100
1950,2,12,11:57:00,1,32,0,5,0,31.8,-94.2,31.88,-94.12,7.7,100
1950,2,12,12:00:00,2,2,3,4,0,34.6,-89.12,0,0,0.1,10
1950,2,12,12:00:00,1,0,0,0,0,34.6,-89.12,0,0,2,10
1950,2,12,12:00:00,3,15,3,5,0,31.8,-94.2,31.8,-94.18,1.9,50
1950,2,12,12:30:00,2,0,0,3,0,34.48,-92.4,0,0,0.1,100
1950,2,12,13:00:00,4,77,18,5,0,31.97,-94,33,-93.3,82.6,100
1950,2,12,13:20:00,2,10,5,5,0,32.2,-93.58,32.97,-93.17,58.4,100
1950,2,12,14:00:00,3,25,5,5,0,31.63,-93.65,32.55,-93.03,74.5,100
1950,2,12,15:00:00,2,0,0,4,0,33.27,-92.95,33.35,-92.95,5.7,100
1950,2,12,23:00:00,1,0,0,4,0,32.6,-91.33,0,0,0.5,33
1950,2,13,1:00:00,1,8,0,3,0,35.35,-89.77,0,0,0.2,10
1950,2,13,2:00:00,2,1,9,4,0,35.75,-89.48,0,0,0.2,10
1950,2,27,10:20:00,2,0,0,4,0,35.55,-97.6,0,0,2,50
1950,3,1,2:30:00,1,0,0,0,0,32.5,-88.85,0,0,0.1,10
1950,3,16,9:15:00,2,0,0,3,0,29.65,-81.22,0,0,1.5,150
1950,3,19,7:30:00,1,2,0,4,0,30.45,-93.45,0,0,2,33
1950,3,19,13:15:00,2,0,0,4,0,30.1,-91,0,0,1,50
1950,3,19,13:15:00,0,0,0,4,0,29.7,-90.1,29.67,-89.8,18.1,27
1950,3,26,19:30:00,2,3,0,4,0,34.12,-93.07,34.32,-92.88,17.4,150
1950,3,26,19:31:00,3,1,0,5,0,36.15,-91.83,36.2,-91.75,5.7,200
1950,3,26,20:30:00,2,7,0,5,0,34.7,-92.35,34.8,-92.22,10.4,600
1950,3,26,21:15:00,3,20,0,5,0,34.98,-91.73,35.08,-91.5,14.9,1760
1950,3,26,23:30:00,2,2,0,0,0,35.1,-91.4,35.15,-91.33,5.4,833
1950,3,27,3:00:00,2,0,0,3,0,34.85,-95.75,0,0,0.1,77
1950,3,27,5:00:00,2,2,1,0,0,33.17,-90.55,0,0,0.1,10
1950,3,27,6:00:00,1,2,0,4,0,32.63,-91.28,32.73,-91.05,15.3,17
